Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Children_at_home,Living_With,Family_Size
Graduate,58138.0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,3,8,10,4,7,0,0,0,0,0,0,1,69,4926,31.378848069456303,25,0,0,Alone,1
Graduate,46344.0,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,2,1,1,2,5,0,0,0,0,0,0,0,72,4376,8.861633597686627,6,0,2,Alone,3
Graduate,71613.0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,1,8,2,10,4,0,0,0,0,0,0,0,61,4575,26.39157872292336,21,0,0,Partner,2
Graduate,26646.0,26,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,2,2,0,4,6,0,0,0,0,0,0,0,42,4402,12.71481610309184,8,0,1,Partner,3
PhD,58293.0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,5,5,3,6,5,0,0,0,0,0,0,0,45,4424,23.677309260369363,19,0,1,Partner,3
Postgraduate,62513.0,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,2,6,4,10,6,0,0,0,0,0,0,0,59,4556,21.08132032437729,22,0,1,Partner,3
Graduate,55635.0,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,4,7,3,7,6,0,0,0,0,0,0,0,55,4856,25.93548516928029,21,0,1,Alone,2
PhD,33454.0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,2,4,0,4,8,0,0,0,0,0,0,0,41,4680,16.04224733451439,10,0,1,Partner,3
PhD,30351.0,19,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,1,3,0,2,9,0,0,0,0,0,0,1,52,4651,9.7981270368783,6,0,1,Partner,3
PhD,5648.0,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,1,1,0,0,20,1,0,0,0,0,0,0,76,4371,9.338557669776936,2,1,2,Partner,4
Graduate,51381.5,11,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,1,1,0,2,7,0,0,0,0,0,0,0,43,4489,7.321188556739479,4,0,1,Partner,3
Undergraduate,7500.0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,1,2,0,3,8,0,0,0,0,0,0,0,50,4856,13.275297317303693,6,0,0,Partner,2
Graduate,63033.0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,1,3,4,8,2,0,0,0,0,0,0,0,67,4489,29.157911236184376,16,0,0,Alone,1
Postgraduate,59354.0,53,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,3,6,1,5,6,0,0,0,0,0,0,0,74,4489,16.42902148204024,15,0,2,Alone,3
Graduate,17323.0,38,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,1,1,0,3,8,0,0,0,0,0,0,0,39,4890,11.415533118961578,5,0,0,Partner,2
PhD,82800.0,23,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,1,7,6,12,3,0,0,1,1,0,0,1,80,4845,26.960907763062536,26,2,0,Alone,1
Graduate,41850.0,51,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341003,3,3,0,3,8,0,0,0,0,0,0,0,46,4815,14.123583320063787,9,0,2,Partner,4
Graduate,37760.0,20,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,2,4,1,6,7,0,0,0,0,0,0,0,80,4930,20.847497396110953,13,0,0,Partner,2
Postgraduate,76995.0,91,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,2,11,4,9,5,0,0,0,1,0,0,0,77,4721,25.537089831302687,26,1,1,Partner,3
Undergraduate,33812.0,86,1.6094379124341003,2.8903717578961645,2.995732273553991,3.4339872044851463,3.2188758248682006,3.6888794541139363,2,2,1,3,6,0,0,0,0,0,0,0,41,4866,17.837284427351538,8,0,1,Alone,2
Graduate,37040.0,41,4.465908118654584,1.0986122886681098,4.30406509320417,4.248495242049359,3.6635616461296463,3.8918202981106265,1,4,2,5,8,0,0,0,0,0,0,0,44,4953,21.6724626868165,12,0,0,Partner,2
Graduate,2447.0,42,0.6931471805599453,0.6931471805599453,7.453561871643373,0.6931471805599453,0.6931471805599453,0.6931471805599453,15,0,28,0,1,0,0,0,0,0,0,0,47,4802,10.9192977744431,43,0,1,Partner,3
PhD,58607.0,63,6.7661917146603505,0.0,4.465908118654584,0.0,0.0,2.995732273553991,3,2,3,9,8,0,1,0,0,0,0,0,77,4816,14.227832106868924,17,1,1,Partner,3
PhD,65324.0,0,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055,3,6,2,9,4,0,0,0,0,0,0,0,72,4432,18.96728180657027,20,0,1,Partner,3
Graduate,40689.0,69,5.602118820879701,1.3862943611198906,3.332204510175204,3.6888794541139363,1.9459101490553132,4.605170185988092,7,7,1,5,8,0,0,0,0,0,0,0,75,4731,20.56057748133214,20,0,1,Partner,3
Graduate,18589.0,89,1.9459101490553132,1.6094379124341003,3.258096538021482,2.772588722239781,2.5649493574615367,2.6390573296152584,2,2,1,3,7,0,0,0,0,0,0,0,57,4806,14.790040008827471,8,0,0,Alone,1
Graduate,53359.0,4,5.159055299214529,1.6094379124341003,3.4339872044851463,1.3862943611198906,1.9459101490553132,3.7376696182833684,4,5,1,4,7,0,0,0,0,0,0,0,50,4661,17.27235454459235,14,0,2,Partner,4
Graduate,51381.5,19,1.791759469228055,0.6931471805599453,1.3862943611198906,1.3862943611198906,5.575949103146316,5.8944028342648505,0,27,0,0,1,0,0,0,0,0,0,0,40,4757,16.72784730943895,27,0,1,Alone,2
Graduate,38360.0,26,3.6109179126442243,1.0986122886681098,3.7612001156935624,3.044522437723423,3.091042453358316,2.3978952727983707,2,2,1,4,3,0,0,0,0,0,0,0,37,4657,17.004190480886006,9,0,1,Partner,3
PhD,84618.0,96,6.529418838262226,4.61512051684126,6.687108607866515,3.091042453358316,4.204692619390966,0.0,1,6,9,10,2,0,0,1,0,0,0,0,61,4482,25.127383035719284,26,1,0,Partner,2
Postgraduate,10979.0,34,2.1972245773362196,1.6094379124341003,2.3978952727983707,1.0986122886681098,1.0986122886681098,1.6094379124341003,2,3,0,3,5,0,0,0,0,0,0,0,37,4301,10.01122025233901,8,0,0,Alone,1
Postgraduate,38620.0,56,4.727387818712341,2.8903717578961645,3.8066624897703196,3.5553480614894135,3.1354942159291497,4.499809670330265,1,2,5,3,3,0,0,0,0,0,0,0,63,4677,22.61507401412765,11,0,0,Partner,2
Graduate,40548.0,31,4.709530201312334,0.0,1.791759469228055,1.0986122886681098,0.0,1.3862943611198906,2,2,1,4,5,0,1,0,0,0,0,0,56,4890,8.98619632032839,9,1,1,Partner,3
PhD,46610.0,8,4.574710978503383,2.5649493574615367,4.574710978503383,3.5263605246161616,3.1354942159291497,3.784189633918261,6,4,1,6,6,0,0,0,0,0,0,1,74,4871,22.160415688931874,17,0,2,Alone,3
Postgraduate,68657.0,4,6.180016653652572,3.5553480614894135,6.156978985585555,4.787491742782046,4.23410650459726,3.1354942159291497,1,3,5,9,7,0,0,0,0,0,0,0,80,4757,28.049436164035995,18,0,0,Partner,2
Postgraduate,49389.0,55,3.713572066704308,0.0,2.995732273553991,1.0986122886681098,0.6931471805599453,1.3862943611198906,1,2,0,3,7,0,0,0,0,0,0,0,75,4567,9.887358170606245,6,0,2,Alone,3
PhD,67353.0,37,6.555356891810665,2.8903717578961645,5.0238805208462765,0.0,2.1972245773362196,3.58351893845611,5,5,6,12,2,0,0,0,0,0,0,0,56,4443,20.250352686345433,28,0,1,Partner,3
Undergraduate,23718.0,76,1.9459101490553132,1.3862943611198906,2.70805020110221,2.772588722239781,2.0794415416798357,3.6109179126442243,3,3,1,2,7,0,0,0,0,0,0,0,50,4563,14.503202887841255,9,0,1,Partner,3
Graduate,42429.0,99,4.02535169073515,0.0,1.9459101490553132,1.0986122886681098,0.0,1.6094379124341003,2,1,1,3,5,0,0,0,0,0,0,0,53,4401,8.679312040892674,7,0,1,Alone,2
PhD,48948.0,53,6.082218910376446,2.1972245773362196,5.332718793265369,5.081404364984463,3.912023005428146,3.7612001156935624,2,7,10,5,6,1,0,0,0,0,0,1,83,4776,26.366789767084207,24,1,0,Alone,1
Graduate,80011.0,3,6.045005314036012,4.343805421853684,6.285998094508865,4.418840607796598,5.187385805840755,4.634728988229636,2,8,6,5,4,0,0,0,0,0,0,0,46,4689,30.91576423226555,21,0,1,Partner,3
Postgraduate,20559.0,88,2.6390573296152584,0.6931471805599453,3.4011973816621555,1.3862943611198906,0.0,2.0794415416798357,2,2,0,3,8,0,0,0,0,0,0,0,41,4737,10.199137794637085,7,0,1,Partner,3
Graduate,21994.0,4,2.302585092994046,0.0,1.9459101490553132,1.3862943611198906,0.6931471805599453,1.3862943611198906,1,0,0,3,5,0,0,0,0,0,0,0,69,4815,7.714231144849086,4,0,1,Partner,3
PhD,51381.5,80,4.406719247264253,2.4849066497880004,3.9318256327243257,1.3862943611198906,1.0986122886681098,3.6888794541139363,1,1,3,4,2,0,0,0,0,0,0,0,67,4499,16.997237633678516,9,0,0,Alone,1
Postgraduate,7500.0,19,1.3862943611198906,0.6931471805599453,2.3978952727983707,1.3862943611198906,1.0986122886681098,2.5649493574615367,3,2,0,3,5,0,0,0,0,0,0,0,51,4533,9.527192821727745,8,0,1,Partner,3
Graduate,79941.0,72,4.820281565605037,5.10594547390058,5.58724865840025,5.429345628954441,3.4339872044851463,5.1647859739235145,1,2,4,9,1,0,0,0,0,0,0,0,50,4264,29.541594505268968,16,0,0,Alone,1
Undergraduate,7500.0,24,1.3862943611198906,2.9444389791664403,2.70805020110221,2.772588722239781,3.1354942159291497,3.9318256327243257,3,3,1,3,9,0,0,0,0,0,0,1,30,4860,16.878692112281797,10,0,0,Partner,2
Graduate,41728.0,92,2.6390573296152584,1.9459101490553132,2.772588722239781,1.3862943611198906,1.791759469228055,2.6390573296152584,1,2,0,2,10,0,0,0,0,0,0,0,58,4664,13.174667360873556,5,0,1,Partner,3
Graduate,51381.5,96,3.8918202981106265,1.791759469228055,3.8918202981106265,1.9459101490553132,2.3978952727983707,2.0794415416798357,3,2,1,4,6,0,0,0,0,0,0,0,75,4442,15.998647028982829,10,0,3,Alone,4
