Cluster,uplift_score,cluster
0,0.8868586558208371,0
1,0.7545802442320451,1
0,0.7961469983223666,0
0,0.7414576981003864,0
0,0.8302915445117618,0
3,0.8270153874347834,3
3,0.7415008251390696,3
0,0.7946295718340703,0
3,0.8451955113414646,3
3,0.8320818072824443,3
0,0.826517099782863,0
0,0.8897485321595378,0
3,0.8665847295620923,3
3,0.834398818016368,3
3,0.8376123051631688,3
0,0.8643109047053792,0
3,0.8230418253327239,3
0,0.7884233485200665,0
3,0.8230010650548312,3
2,0.7820558360059626,2
3,0.8909128323937394,3
1,0.7673095071705303,1
0,0.8895116980599465,0
3,0.8913988167349098,3
0,0.8142599408718403,0
3,0.8710816366767049,3
3,0.8659990382209688,3
0,0.8790474949932503,0
3,0.7554391500424769,3
0,0.8551105071828755,0
3,0.8275565505282716,3
3,0.9169507308571558,3
3,0.8484692108223184,3
0,0.8488594858779277,0
3,0.8931596797116808,3
3,0.7972814544540281,3
0,0.8801391869945305,0
0,0.8663683376869538,0
2,0.7468405391700039,2
0,0.7732352327494687,0
0,0.8612824341675918,0
3,0.9005010575396206,3
0,0.7504700023994664,0
1,0.753668515831307,1
1,0.7574552125800462,1
3,0.805260041357565,3
0,0.8929492714243981,0
1,0.7691025307706696,1
0,0.7606063993384822,0
3,0.8917553216816199,3
3,0.9090130126600975,3
1,0.7578638179548687,1
0,0.8255251274301247,0
0,0.8381258669348699,0
3,0.9025457674082238,3
2,0.7414388341978488,2
0,0.8238600333571984,0
3,0.8228890190849081,3
1,0.7728262494625877,1
0,0.7716714805512739,0
0,0.883838948614494,0
0,0.7523515249829027,0
0,0.8117614374412419,0
3,0.87101669029736,3
3,0.8494521067073058,3
3,0.8267033093749503,3
3,0.8955083964453179,3
3,0.8693030678453653,3
0,0.7850662491423608,0
3,0.8972323538137439,3
3,0.8837827639585416,3
3,0.8343549167815882,3
3,0.8367689913332292,3
3,0.8480964194866849,3
3,0.855187461514032,3
0,0.8448954209311472,0
3,0.8295570042503226,3
3,0.89498349470272,3
3,0.86291393879776,3
1,0.7661394772025483,1
3,0.8575745521518241,3
2,0.7505002338832671,2
0,0.7638765559317644,0
3,0.8591755546691333,3
0,0.7515698854884292,0
0,0.7423305405028291,0
1,0.7405161442896526,1
3,0.8421761942312875,3
3,0.8295031118670468,3
0,0.8924512419814483,0
0,0.8239970715017848,0
0,0.8833776460956593,0
3,0.8013888912397047,3
3,0.8370498542714331,3
0,0.8877885287990537,0
3,0.8522435984351906,3
3,0.8095502479191721,3
3,0.7713988454908616,3
0,0.8009465015860044,0
3,0.8831988372933346,3
0,0.8183317960666088,0
3,0.8154419717042714,3
0,0.8484246515398157,0
2,0.7766713813340462,2
0,0.8249073023189575,0
3,0.8878128642941019,3
0,0.8327437035767307,0
1,0.7405161442896526,1
1,0.7692752655521564,1
0,0.8708046907214833,0
1,0.7558298126070309,1
0,0.7913810821988887,0
3,0.8071392932283583,3
3,0.7697925162467287,3
0,0.8585610588111376,0
0,0.8855619217702406,0
0,0.8399633346189403,0
3,0.8131964960174338,3
3,0.849551765959097,3
2,0.7417772785445069,2
3,0.7891418181934942,3
0,0.7863352618577704,0
3,0.8260125763257073,3
0,0.8857682176617603,0
3,0.8859034910238082,3
3,0.8201685172452624,3
0,0.8934593101322943,0
3,0.8118540806217418,3
0,0.8169807069149362,0
0,0.7697517483312049,0
0,0.8429350350828151,0
0,0.8381903504834809,0
0,0.7819995453603754,0
3,0.8707727512910217,3
0,0.8433836620802566,0
0,0.881232286842816,0
0,0.7614588734970404,0
0,0.7922629205588703,0
1,0.7820826065094602,1
0,0.8399441002670149,0
3,0.8847948857107075,3
0,0.8741600138457428,0
3,0.8350987304555897,3
0,0.8357079132195377,0
3,0.7688240474274528,3
3,0.8635240499309509,3
0,0.8484246515398157,0
3,0.8626943444813329,3
3,0.8994516969080593,3
0,0.8881280423065425,0
3,0.8810709636858511,3
0,0.8560934735665688,0
3,0.9043960473514432,3
2,0.7504110458340794,2
0,0.7609356845173849,0
0,0.754338536663826,0
3,0.8182630820695136,3
3,0.9060864220663121,3
3,0.8365255226347625,3
3,0.8402975236367343,3
2,0.7713143519757366,2
3,0.8922719302478137,3
0,0.7414576981003864,0
3,0.8476884012178778,3
0,0.8627619376163844,0
0,0.8801391869945305,0
3,0.8543566420969757,3
0,0.8077181033558085,0
3,0.8416034779119681,3
0,0.8748242456519941,0
0,0.8895584775900729,0
3,0.8286569435155382,3
3,0.8795934308393982,3
3,0.9032069077461395,3
3,0.8437274750618693,3
0,0.8634404568937399,0
0,0.8881280423065425,0
3,0.8654674645906024,3
3,0.8230808338003683,3
3,0.8210238353416373,3
0,0.8440894167158732,0
1,0.8075245888348797,1
0,0.8625022842271648,0
1,0.8132095950014893,1
3,0.8184415535289791,3
3,0.8365142917952673,3
0,0.7762970568594527,0
0,0.8050391235799892,0
1,0.756834133041485,1
0,0.7987325435226622,0
3,0.9101465683992362,3
3,0.7709047884989304,3
3,0.9062203143152243,3
3,0.8697517908203392,3
0,0.7481866821037526,0
0,0.889802580656299,0
3,0.7938786469265267,3
1,0.7734334295856391,1
0,0.8805942490681609,0
0,0.8231537243343632,0
0,0.8895584775900729,0
3,0.8224592349840085,3
1,0.7552963199198186,1
3,0.8889834032548647,3
3,0.8621541955469902,3
2,0.7932373220578288,2
3,0.9118632357274274,3
1,0.7605524469177625,1
1,0.7771084057821773,1
1,0.8183924130281164,1
3,0.805674310704533,3
3,0.8915830054035359,3
3,0.7704533960357511,3
3,0.8402815176691336,3
3,0.8193651112539908,3
0,0.8097890824012501,0
1,0.7648899522039492,1
3,0.9103462536782627,3
3,0.8587573779660322,3
0,0.8861345074242832,0
3,0.8540866985175262,3
1,0.7788288556311072,1
0,0.8498797084024827,0
0,0.8218433365882725,0
3,0.7801846312071776,3
3,0.835215883029145,3
0,0.8193424559068165,0
0,0.849028401053362,0
3,0.8928960479120276,3
0,0.7430153308797924,0
3,0.8961114954165144,3
0,0.8299702687207071,0
0,0.8543493228727916,0
3,0.7831947854259349,3
3,0.8527335967094016,3
3,0.8021291255401706,3
3,0.8537927333876443,3
0,0.7874010445341364,0
1,0.7912219205337592,1
3,0.8500941878165076,3
0,0.8283824919127694,0
2,0.7503109742723932,2
3,0.8350717916584736,3
0,0.8666475054113527,0
0,0.7910317568678511,0
3,0.7546499283918868,3
0,0.8622148685438578,0
3,0.8236746470030583,3
3,0.834398818016368,3
3,0.9044275810044744,3
0,0.7993307001831886,0
3,0.784687186482576,3
3,0.7471784714225016,3
0,0.8533564330787882,0
0,0.8857682176617603,0
1,0.756712659604154,1
3,0.896747337861165,3
